Country,State,Latitude (generated),Longitude (generated),Sales
United States,Wyoming,43,-107.5,1603.136
United States,Wisconsin,44.5,-90,32114.61
United States,West Virginia,38.63,-80.73,1209.824
United States,Washington,47.5,-120.5,138641.27
United States,Virginia,37.77,-78.24,70636.72
United States,Vermont,44.1584,-72.7678,8929.37
United States,Utah,39.25,-111.75,11220.056
United States,Texas,31.25,-99.25,170188.0458
United States,Tennessee,35.75,-86.25,30661.873
United States,South Dakota,44.5,-100.25,1315.56
United States,South Carolina,34,-81,8481.71
United States,Rhode Island,41.4966,-71.4757,22627.956
United States,Pennsylvania,40.86,-77.9,116511.914
United States,Oregon,44,-120.5,17431.15
United States,Oklahoma,35.5,-97.5,19683.39
United States,Ohio,40.25,-83,78258.136
United States,North Dakota,47.5,-100,919.91
United States,North Carolina,35.5,-80,55603.164
United States,New York,43,-75.49,310876.271
United States,New Mexico,34.5,-106,4783.522
United States,New Jersey,40.16,-74.49,35764.312
United States,New Hampshire,43.66,-71.49,7292.524
United States,Nevada,39.25,-116.75,16729.102
United States,Nebraska,41.5,-99.75,7464.93
United States,Montana,47,-109.75,5589.352
United States,Missouri,38.25,-92.5,22205.15
United States,Mississippi,33.503,-89.8071,10771.34
United States,Minnesota,46.25,-94.25,29863.15
United States,Michigan,43.1045,-84.6165,76269.614
United States,Massachusetts,42.3616,-72.1839,28634.434
United States,Maryland,39.4444,-77.0834,23705.523
United States,Maine,45.5,-69.24,1270.53
United States,Louisiana,30.6935,-92.241,9216.03
United States,Kentucky,37.79,-84.87,36591.75
United States,Kansas,38.5,-98.5,2914.31
United States,Iowa,42,-93.5,4579.76
United States,Indiana,40,-86.25,53555.36
United States,Illinois,40,-89.25,80166.101
United States,Idaho,44.0739,-114.542,4382.486
United States,Georgia,32.1598,-83.4715,49095.84
United States,Florida,28.42,-81.55,89473.708000000
United States,District of Columbia,38.91,-77,2865.02
United States,Delaware,38.6716,-75.4165,27451.069
United States,Connecticut,41.6227,-72.7028,13384.357
United States,Colorado,39,-105.5,32108.118
United States,California,37.25,-119.75,457687.631500002
United States,Arkansas,34.75,-92.5,11678.13
United States,Arizona,34.5,-111.5,35282.001
United States,Alabama,32.75,-86.75,19510.64
